ID,Pair, Entry Price,Action,SL,TP,Time Open,Time Closed
1af88d3c-66ce-414d-8c65-bd32163e9e1d,Gold,1980.15,Buy,1,0,3/31/2023 12:52:56 PM,3/31/2023 5:27:08 PM,
14f86100-0e92-4784-adfe-3aadc8755d74,ETH/USD,1713.5,Buy,0,1,3/27/2023 4:28:59 PM,3/31/2023 1:34:50 PM,
cba1bacb-c6c8-4ff8-88ac-df93c5cc199f,EUR/USD,1.0902,Sell,0,1,3/31/2023 5:07:57 AM,3/31/2023 10:53:03 AM,
fc203383-a5b7-4065-9592-1a4e38962da9,Gold,1981.35,Sell,0,1,3/30/2023 10:10:32 PM,3/31/2023 8:44:34 AM,
a4500cd9-888e-46fa-99fc-da37673f9e4f,GBP/USD,1.2389,Sell,0,1,3/31/2023 5:30:07 AM,3/31/2023 8:19:25 AM,
7d495577-692c-4daf-a9de-bcb6688a5060,USD/CAD,1.3543,Sell,0,1,3/30/2023 12:27:39 PM,3/31/2023 1:31:06 AM,
ad3af043-8aac-4b98-967e-11a8a840aaaf,Gold,1963.9,Buy,0,1,3/29/2023 8:20:54 AM,3/30/2023 12:28:12 PM,
d9af30f4-d76a-4c02-a832-b0436fe00eb5,EUR/GBP,0.8777,Sell,1,0,3/28/2023 5:12:31 AM,3/30/2023 11:00:14 AM,
b481aca9-4c04-49c4-aea4-ce0f12029c11,USOil,73.02,Buy,0,1,3/29/2023 4:46:31 PM,3/30/2023 8:56:48 AM,
d513624e-d618-43e2-b838-2f3787f678cf,EUR/USD,1.0837,Buy,0,1,3/30/2023 5:05:14 AM,3/30/2023 8:15:05 AM,
cb3826ca-c1db-44b6-af4f-694b2acf2a17,AUD/USD,0.6689,Buy,0,1,3/30/2023 5:20:58 AM,3/30/2023 8:06:04 AM,
47cedff1-6547-43da-b76f-bd5dffdb411c,GBP/USD,1.2319,Buy,0,1,3/29/2023 3:16:46 PM,3/30/2023 7:39:02 AM,
ecdbefc9-1874-43fc-a6b7-677ebce250b1,USD/JPY,130.75,Sell,1,0,3/27/2023 3:34:29 AM,3/29/2023 11:39:44 AM,
e226ffda-3fca-4fc3-b42c-8f0cbd81cab9,EUR/USD,1.0826,Buy,0,1,3/28/2023 1:53:37 PM,3/29/2023 9:57:24 AM,
ace23fa6-7489-49fa-9e21-c915aebcf650,EUR/JPY,142.69,Buy,0,1,3/29/2023 4:47:50 AM,3/29/2023 6:16:03 AM,
a64e1706-2910-4bbe-beec-0e560d0784c8,Gold,1968.06,Sell,0,1,3/29/2023 4:26:37 AM,3/29/2023 5:36:29 AM,
eaaa9e1f-93aa-41d9-87a8-6c33be8fb5b8,USOil,72.47,Buy,0,1,3/28/2023 1:25:33 PM,3/28/2023 2:10:57 PM,
dd93dcd7-e088-4b0e-a026-81761f36bcea,Gold,1957.48,Sell,0,1,3/28/2023 5:05:24 AM,3/28/2023 9:03:48 AM,
e81042dc-7e2d-40d7-ac98-5cdabc5ea22b,EUR/USD,1.0786,Sell,1,0,3/27/2023 3:45:16 PM,3/28/2023 7:28:13 AM,
98526025-5b14-4e5d-b992-67e9b029e251,AUD/USD,0.665,Sell,1,0,3/26/2023 11:11:45 PM,3/28/2023 2:50:33 AM,
